Miesiac;Rok;Temp_Dzien;Temp_Noc;Opady;Cena_ziemniakow;Cena_mleka
styczeN;2013;-0.55;-4.83;70.3;52.12;130.94
luty;2013;0.97;-2.41;33.2;56.88;129.45
marzec;2013;0.83;-6.34;34.2;48.89;132.46
kwiecien;2013;12.28;4.41;23.6;67.38;133.69
maj;2013;18.07;9.59;63.9;40.03;134.96
czerwiec;2013;21.45;13;104.4;41.65;137.57
lipiec;2013;25.48;15.31;68;32.22;137.65
sierpieN;2013;24.03;14.31;42.6;21.32;141.36
wrzesien;2013;16.45;9.1;55.3;23.65;144.64
pazdziernik;2013;14.86;5.86;18.8;25.45;149.38
listopad;2013;6.86;1.66;52.1;22.87;158.28
grudzien;2013;5.59;0.03;24.6;46.47;164.89
styczeN;2014;1.62;-3.52;36.6;68.73;157.16
luty;2014;7.59;-1.34;6.9;85.47;156.72
marzec;2014;11.45;1.31;43.9;80.03;156.41
kwiecien;2014;14.97;6.21;36.6;76.38;151.44
maj;2014;17.28;8.93;114.1;66.07;146.09
czerwiec;2014;21.38;12.1;27.3;38.01;145.21
lipiec;2014;26.45;16.34;73.6;27.27;139.07
sierpieN;2014;21.79;12.9;96.8;21.27;138.43
wrzesien;2014;19.24;11.24;52;19.09;126.94
pazdziernik;2014;15.21;7.69;33.1;23.67;126.56
listopad;2014;8.72;3.52;5.5;20.54;132.82
grudzien;2014;4.21;-0.41;23.4;34.17;133.91
styczeN;2015;3.87;-0.71;63;44.19;122.18
luty;2015;4.69;-1.45;5.2;43.83;120.74
marzec;2015;9.58;2.35;34;52.85;121.02
kwiecien;2015;13.17;5;26.2;54.1;116.43
maj;2015;17.94;9.19;18.9;53.18;112.52
czerwiec;2015;20.93;12.27;70.5;62.31;110.4
lipiec;2015;24.35;16.03;99.6;50.43;108.47
sierpieN;2015;28.19;18.84;6.9;44.18;107.81
wrzesien;2015;19.5;12.3;45;35.27;108.79
pazdziernik;2015;12.32;6.48;31.7;30.82;112.03
listopad;2015;9.5;5.63;61.3;31.01;113.2
grudzien;2015;7.94;4.65;17.6;46.81;112.89
styczeN;2016;1.13;-1.94;44.3;58.09;111.8
luty;2016;5.76;1.83;50.5;57.2;109.54
marzec;2016;7.13;1.39;39.7;66.84;105.89
kwiecien;2016;13.1;4.77;52;64.93;102.8
maj;2016;19.74;10.52;34.8;67.29;100.19
czerwiec;2016;22.97;14.13;71.7;68.77;99.97
lipiec;2016;23.48;15.23;98.6;51.62;101.28
sierpieN;2016;22.13;14.58;57;35.53;104.88
wrzesien;2016;22.13;14.13;4.9;29.26;111.81
pazdziernik;2016;10.97;6.68;91.7;28.39;120.29
listopad;2016;5.83;1.63;32;28.27;129.69
grudzien;2016;3.19;0.03;44.5;32.48;135.97
